[00:03:00] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:04:24] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=133}
[00:04:25] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME6] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=131}
[00:04:25] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-174, y=65, z=131}
[00:04:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:04:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:04:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:04:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:04:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:04:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:04:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-170, y=65, z=133}
[00:04:29] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:04:29] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:06:02] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Spawning merchant at BlockPos{x=-250, y=63, z=265}
[00:11:09] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME6] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=131}
[00:11:11] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-170, y=65, z=133}
[00:11:12] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:11:12] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:11:12] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:11:12] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:11:12] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-174, y=65, z=131}
[00:11:14] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=133}
[00:11:15] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:11:15] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-173, y=64, z=130}]
